"NOME_MUNICIPIO",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"ABADIA DE GOIAS",0,0,0,0,0,0,0,6,6,7,8207,"GO"
"ABARE",0,0,0,2,0,0,0,0,2,2,20189,"BA"
"ABATIA",0,0,0,0,0,0,0,0,0,1,7768,"PR"
"ABELARDO LUZ",0,0,0,0,0,0,0,0,0,9,17847,"SC"
"ABREULANDIA",0,0,0,0,0,0,0,0,0,2,2571,"TO"
"ACEGUA",0,0,0,0,0,0,0,0,0,11,4759,"RS"
"ACREUNA",0,0,0,0,1,0,1,13,15,15,22076,"GO"
"ADAMANTINA",0,0,0,0,0,0,6,6,12,14,35139,"SP"
"ADELANDIA",1,0,0,0,0,0,0,0,1,4,2564,"GO"
"ADOLFO",0,0,0,0,1,1,4,1,7,7,3609,"SP"
"ADRIANOPOLIS",0,0,0,0,0,0,0,1,1,7,6254,"PR"
"AGROLANDIA",0,0,0,0,0,0,0,0,0,13,10581,"SC"
"AGUA BRANCA",0,0,0,0,0,0,0,0,0,1,17119,"PI"
"AGUA CLARA",0,0,3,10,0,0,0,0,13,13,14992,"MS"
"AGUA DOCE",0,0,0,0,0,4,0,0,4,10,7154,"SC"
"AGUA FRIA",0,0,0,4,0,0,0,0,4,4,17508,"BA"
"AGUA LIMPA",0,0,0,0,1,0,0,7,8,12,1967,"GO"
"AGUA SANTA",0,0,0,0,0,0,0,0,0,5,3841,"RS"
"AGUAI",0,0,0,0,0,0,3,0,3,10,35508,"SP"
"AGUANIL",0,0,0,0,3,0,0,0,3,3,4440,"MG"
"AGUAS DA PRATA",0,0,0,0,0,0,2,7,9,9,8104,"SP"
"AGUAS DE LINDOIA",0,0,0,0,0,0,0,0,0,16,18509,"SP"
"AGUAS DE SANTA BARBARA",0,0,0,0,2,0,5,0,7,9,6009,"SP"
"AGUAS DE SAO PEDRO",0,0,0,0,0,0,7,0,7,7,3268,"SP"
"AGUAS FRIAS",0,0,0,0,1,0,0,0,1,7,2387,"SC"
"AGUAS LINDAS DE GOIAS",0,0,0,0,0,0,0,0,0,1,195810,"GO"
"AGUAS MORNAS",0,0,0,0,0,0,0,0,0,13,6298,"SC"
"AGUDO",0,0,0,0,0,0,0,0,0,7,17085,"RS"
"AGUDOS",0,0,0,0,0,0,10,5,15,16,36880,"SP"
"AGUDOS DO SUL",0,0,0,0,0,0,3,0,3,8,9161,"PR"
"AGUIA BRANCA",0,0,0,0,4,2,0,0,6,6,10085,"ES"
"AGUIAR",0,0,0,0,0,0,0,0,0,2,5562,"PB"
"AGUIARNOPOLIS",0,0,0,0,0,0,0,0,0,10,6460,"TO"
"AIQUARA",0,0,0,4,0,0,0,0,4,4,4725,"BA"
"AJURICABA",0,0,0,0,0,0,0,0,0,1,7358,"RS"
"ALAGOA GRANDE",0,0,0,0,0,0,0,0,0,1,28565,"PB"
"ALAMBARI",0,0,0,0,0,0,1,1,2,6,5754,"SP"
"ALBERTINA",0,0,0,3,0,0,0,0,3,3,3046,"MG"
"ALCINOPOLIS",0,0,0,0,0,0,0,0,0,6,5188,"MS"
"ALCOBACA",0,0,0,4,0,0,0,0,4,4,23376,"BA"
"ALECRIM",0,0,0,0,0,0,0,0,0,3,6736,"RS"
"ALEGRETE",0,0,0,0,0,0,0,3,3,12,78003,"RS"
"ALEXANIA",0,0,0,0,1,0,1,0,2,6,26770,"GO"
"ALFREDO MARCONDES",0,0,0,0,0,0,1,0,1,7,4135,"SP"
"ALFREDO WAGNER",0,0,0,0,0,0,0,0,0,7,9960,"SC"
"ALHANDRA",0,0,0,0,0,0,0,0,0,1,19579,"PB"
"ALIANCA DO TOCANTINS",0,0,0,0,0,0,0,0,0,7,5527,"TO"
"ALMADINA",0,0,0,3,0,0,0,0,3,3,5985,"BA"
"ALMAS",0,0,0,0,0,0,0,0,0,23,7273,"TO"
"ALMIRANTE TAMANDARE",0,0,0,0,0,0,0,0,0,9,115364,"PR"
"ALOANDIA",0,0,0,0,1,0,0,9,10,14,2071,"GO"
"ALPERCATA",0,0,0,0,0,0,0,1,1,1,7515,"MG"
"ALPESTRE",0,0,0,0,0,0,0,0,0,1,7433,"RS"
"ALTAMIRA DO PARANA",0,0,0,0,0,0,0,0,0,3,2948,"PR"
"ALTINOPOLIS",0,0,0,0,0,0,4,0,4,16,16219,"SP"
"ALTO ALEGRE",0,1,0,0,0,0,12,9,22,27,15933,"RR"
"ALTO BELA VISTA",0,0,0,0,0,0,0,0,0,1,1967,"SC"
"ALTO GARCAS",0,0,0,0,0,0,0,0,0,3,11532,"MT"
"ALTO HORIZONTE",0,0,0,0,0,1,0,0,1,4,5784,"GO"
"ALTO PARAISO",0,0,0,0,0,0,0,0,0,14,20916,"RO"
"ALTO PARAISO DE GOIAS",0,0,0,0,0,0,0,4,4,16,7514,"GO"
"ALTO PARANA",0,0,0,0,0,0,0,0,0,9,14693,"PR"
"ALTO PIQUIRI",0,0,0,0,0,0,0,0,0,20,10222,"PR"
"ALTO RIO DOCE",0,0,0,0,0,1,1,7,9,9,11693,"MG"
"ALTONIA",0,0,0,0,0,0,0,0,0,21,21988,"PR"
"ALUMINIO",0,0,0,0,0,0,0,0,0,13,18324,"SP"
"ALVARES FLORENCE",0,0,0,0,11,4,12,0,27,27,3795,"SP"
"ALVARES MACHADO",0,0,0,0,0,0,1,0,1,18,24813,"SP"
"ALVARO DE CARVALHO",0,0,0,0,0,0,0,0,0,4,5119,"SP"
"ALVINLANDIA",0,0,0,0,4,0,2,0,6,6,3196,"SP"
"ALVORADA",0,0,0,0,0,0,0,0,0,13,8516,"TO"
"ALVORADA DO NORTE",0,0,0,0,1,0,2,5,8,14,8645,"GO"
"ALVORADA DO SUL",0,0,0,0,0,0,0,0,0,3,11237,"PR"
"AMAMBAI",0,0,0,0,0,0,0,0,0,5,38465,"MS"
"AMAPORA",0,0,0,0,0,0,0,0,0,5,6084,"PR"
"AMARAL FERRADOR",0,0,0,0,0,0,0,0,0,3,6854,"RS"
"AMARALINA",0,0,0,0,0,1,0,0,1,2,3754,"GO"
"AMARGOSA",0,0,0,4,0,0,0,0,4,4,38259,"BA"
"AMELIA RODRIGUES",0,0,0,3,0,0,0,0,3,3,26409,"BA"
"AMERICANA",0,0,0,0,0,0,1,0,1,145,233868,"SP"
"AMERICANO DO BRASIL",0,0,0,0,1,0,0,0,1,3,6018,"GO"
"AMERICO BRASILIENSE",0,0,0,0,0,0,3,0,3,43,39189,"SP"
"AMERICO DE CAMPOS",0,0,0,0,0,0,15,15,30,30,5967,"SP"
"AMETISTA DO SUL",0,0,0,0,0,0,0,0,0,6,7576,"RS"
"AMORINOPOLIS",0,0,0,0,0,0,0,0,0,3,3408,"GO"
"AMPARO",0,1,0,2,2,0,8,0,13,156,2246,"PB"
"AMPERE",0,0,0,0,0,0,0,0,0,6,18886,"PR"
"ANAGE",0,0,0,3,0,0,0,0,3,3,19568,"BA"
"ANAHY",0,0,0,0,0,0,0,0,0,8,2901,"PR"
"ANALANDIA",0,0,0,0,0,0,0,0,0,4,4845,"SP"
"ANAPOLIS",0,0,0,0,4,0,0,28,32,37,375142,"GO"
"ANASTACIO",0,0,0,0,0,0,0,0,0,1,24954,"MS"
"ANAURILANDIA",0,0,0,0,0,0,0,0,0,10,8927,"MS"
"ANCHIETA",0,0,0,0,0,0,0,0,0,9,28546,"ES"
"ANDARAI",0,0,0,3,0,0,0,0,3,3,13737,"BA"
"ANDIRA",0,0,0,0,0,0,0,0,0,1,20769,"PR"
"ANDRADINA",0,0,0,0,6,0,0,0,6,14,57350,"SP"
"ANDRELANDIA",0,0,0,0,0,1,0,1,2,2,12507,"MG"
"ANGATUBA",0,0,0,0,0,0,4,0,4,4,24634,"SP"
"ANGELICA",0,0,0,0,0,0,0,0,0,15,10458,"MS"
"ANGELINA",0,0,0,0,0,0,0,0,0,13,4943,"SC"
"ANGICAL",0,0,0,2,0,0,0,0,2,2,14690,"BA"
"ANGULO",0,0,0,0,0,0,0,0,0,14,2974,"PR"
"ANHANGUERA",0,0,0,0,1,0,0,0,1,1,1126,"GO"
"ANHEMBI",0,0,0,0,0,0,16,5,21,21,6484,"SP"
"ANHUMAS",0,0,0,0,0,0,0,0,0,6,4053,"SP"
"ANICUNS",0,0,0,0,17,0,0,12,29,34,21746,"GO"
"ANITA GARIBALDI",0,0,0,0,0,1,0,0,1,1,7537,"SC"
"ANTAS",0,0,0,8,0,0,0,0,8,8,19569,"BA"
"ANTONINA",0,4,0,0,0,0,0,0,4,4,19420,"PR"
"ANTONIO CARLOS",0,0,0,0,0,0,0,0,0,15,11608,"MG"
"ANTONIO GONCALVES",0,0,0,4,0,0,0,0,4,4,12072,"BA"
"ANTONIO JOAO",0,0,0,0,0,0,0,0,0,5,8808,"MS"
"ANTONIO OLINTO",0,0,0,0,0,0,0,0,0,12,7587,"PR"
"ANTONIO PRADO",0,0,0,0,0,0,0,0,0,6,13306,"RS"
"APARECIDA",0,0,0,0,0,0,0,0,0,16,8430,"PB"
"APARECIDA D'OESTE",0,0,0,0,1,0,3,2,6,8,4329,"SP"
"APARECIDA DE GOIANIA",0,0,1,0,5,0,0,0,6,18,542090,"GO"
"APARECIDA DO RIO DOCE",0,0,0,0,0,0,0,0,0,1,2517,"GO"
"APARECIDA DO RIO NEGRO",0,0,0,0,0,0,0,0,0,4,4726,"TO"
"APARECIDA DO TABOADO",0,0,0,2,0,1,0,0,3,3,25072,"MS"
"APIAI",0,0,0,0,0,0,47,15,62,62,24945,"SP"
"APORE",0,0,0,0,1,0,0,0,1,1,4143,"GO"
"APUAREMA",0,0,0,2,0,0,0,0,2,2,7730,"BA"
"APUCARANA",0,0,0,0,0,0,0,0,0,24,132691,"PR"
"AQUIDAUANA",0,0,0,0,0,0,0,0,0,6,47482,"MS"
"ARACAGI",0,0,0,0,0,0,0,0,0,2,17003,"PB"
"ARACARIGUAMA",0,0,0,0,0,0,0,0,0,8,21038,"SP"
"ARACATU",0,0,0,4,0,0,0,0,4,4,13962,"BA"
"ARACATUBA",0,0,0,0,0,0,8,0,8,40,194874,"SP"
"ARACI",0,0,0,1,0,0,0,0,1,1,55935,"BA"
"ARACOIABA DA SERRA",0,0,0,0,0,0,0,0,0,3,32495,"SP"
"ARACRUZ",0,0,0,0,0,0,0,0,0,139,98393,"ES"
"ARACU",0,0,0,0,1,0,0,4,5,5,3731,"GO"
"ARAGARCAS",0,0,0,0,0,0,0,0,0,1,19884,"GO"
"ARAGOIANIA",0,0,0,0,0,0,0,4,4,6,9765,"GO"
"ARAGOMINAS",0,0,0,0,0,0,0,0,0,6,5865,"TO"
"ARAGUACEMA",0,0,0,0,0,0,0,0,0,7,7003,"TO"
"ARAGUACU",0,0,0,0,0,0,0,0,0,5,8692,"TO"
"ARAGUAINA",0,0,0,0,0,0,0,0,0,60,175960,"TO"
"ARAGUANA",0,0,0,0,0,0,1,0,1,10,5645,"TO"
"ARAGUAPAZ",0,0,0,0,0,0,0,0,0,3,7862,"GO"
"ARAGUARI",0,0,0,140,76,41,0,0,257,257,117445,"MG"
"ARAL MOREIRA",0,0,0,0,0,0,0,0,0,15,11771,"MS"
"ARAMARI",0,0,0,2,0,0,0,0,2,2,11703,"BA"
"ARANDU",0,0,0,0,2,0,2,1,5,10,6368,"SP"
"ARAPOEMA",0,0,0,0,0,0,0,0,0,3,6756,"TO"
"ARAPONGAS",0,0,0,0,0,0,0,0,0,12,118477,"PR"
"ARAPORA",0,0,0,0,0,1,0,1,2,2,6774,"MG"
"ARAPOTI",0,0,0,0,0,0,0,0,0,25,27906,"PR"
"ARAPUA",0,0,0,0,0,0,0,0,0,6,2883,"MG"
"ARAQUARI",0,0,0,0,0,7,3,0,10,10,35268,"SC"
"ARARA",0,0,0,0,0,0,0,0,0,2,13538,"PB"
"ARARANGUA",0,0,0,0,2,1,1,0,4,4,67110,"SC"
"ARARAQUARA",0,0,0,0,0,0,9,2,11,127,230770,"SP"
"ARARAS",0,1,0,46,0,0,6,0,53,80,131282,"SP"
"ARARUAMA",0,0,0,0,0,0,4,0,4,14,126742,"RJ"
"ARARUNA",0,0,0,0,0,0,5,0,5,5,20418,"PB"
"ARATACA",0,0,0,5,0,0,0,0,5,5,11661,"BA"
"ARATIBA",0,0,0,0,0,0,0,0,0,5,6601,"RS"
"ARATUIPE",0,0,0,1,0,0,0,0,1,1,9171,"BA"
"ARAUCARIA",0,0,0,0,0,0,5,6,11,21,137452,"PR"
"ARAUJOS",0,0,0,0,2,0,2,0,4,8,8996,"MG"
"ARCO-IRIS",0,0,0,0,0,0,4,0,4,6,1856,"SP"
